5
7
10
0 0-1 4-2 12-4 1-7 17-11 18-12 8-16 0-
0 0-0 4-3 12-4 0-7 18-12 9-12 18-16 1-
0 0-0 4-4 0-4 12-7 19-12 10-13 18-16 2-
0 0-0 4-4 0-5 12-7 20-12 11-14 18-16 3-
0 0-0 4-4 0-6 12-7 20-12 12-15 18-16 4-
0 0-0 4-4 0-7 12-7 20-12 13-16 5-16 18-
0 0-0 4-4 0-7 20-8 12-12 14-16 6-17 18-
0 0-0 4-4 0-7 20-9 12-12 15-16 7-18 18-
0 0-0 4-4 0-7 20-10 12-12 16-16 8-19 18-
0 0-0 4-4 0-7 20-11 12-12 17-16 9-20 18-
0 0-0 4-4 0-7 20-12 12-12 18-16 10-20 18-
0 0-0 4-4 0-7 20-12 19-13 12-16 11-20 18-
0 0-0 4-4 0-7 20-12 20-14 12-16 12-20 18-
0 0-0 4-4 0-7 20-12 20-15 12-16 13-20 18-
0 0-0 4-4 0-7 20-12 20-16 12-16 14-20 18-
0 0-0 4-4 0-7 20-12 20-16 15-17 12-20 18-
0 0-0 4-4 0-7 20-12 20-16 16-18 12-20 18-
0 0-0 4-4 0-7 20-12 20-16 17-19 12-20 18-
0 0-0 4-4 0-7 20-12 20-16 18-20 12-20 18-
0 0-0 4-4 0-7 20-12 20-16 19-20 12-20 18-
