5
7
10
2 11-2 12-6 9-6 14-6 19-7 12-9 6-13 15-17 0-
1 11-1 12-6 8-6 20-7 13-7 14-10 6-13 14-18 0-
0 11-0 12-6 7-6 20-7 14-8 14-11 6-13 13-19 0-
0 11-0 12-6 6-6 20-7 15-9 14-12 6-13 12-20 0-
0 11-0 12-6 5-6 20-7 16-10 14-13 6-13 11-20 0-
0 11-0 12-6 4-6 20-7 17-11 14-13 10-14 6-20 0-
0 11-0 12-6 3-6 20-7 18-12 14-13 9-15 6-20 0-
0 11-0 12-6 2-6 20-7 19-13 8-13 14-16 6-20 0-
0 11-0 12-6 1-6 20-7 20-13 7-14 14-17 6-20 0-
0 11-0 12-6 0-6 20-7 20-13 6-15 14-18 6-20 0-
0 11-0 12-6 0-6 20-7 20-13 5-16 14-19 6-20 0-
0 11-0 12-6 0-6 20-7 20-13 4-17 14-20 0-20 6-
0 11-0 12-6 0-6 20-7 20-13 3-18 14-20 0-20 6-
0 11-0 12-6 0-6 20-7 20-13 2-19 14-20 0-20 6-
0 11-0 12-6 0-6 20-7 20-13 1-20 0-20 6-20 14-
0 11-0 12-6 0-6 20-7 20-13 0-20 0-20 6-20 14-
0 11-0 12-6 0-6 20-7 20-13 0-20 0-20 6-20 14-
0 11-0 12-6 0-6 20-7 20-13 0-20 0-20 6-20 14-
0 11-0 12-6 0-6 20-7 20-13 0-20 0-20 6-20 14-
0 11-0 12-6 0-6 20-7 20-13 0-20 0-20 6-20 14-
